ID,Adresse,Ground_Area,Wall_Area,Roof_Area,Volume,ground_u,wall_u,roof_u,window_u,door_u,air_change_rate,floors,fracture_windows,fracture_doors,min_air_temp,room_temp,max_air_temp_heating,ww_demand_Wh_per_m2
DESNATPU1000H8TT,"30a, Dresdener Straße, Schmole - Smolicy, Westvorstadt - Zapadne předměsto, Bautzen - Budyšin, Sachsen, 02625, Deutschland",748.6567999961261,2203.0674585878223,930.4387039220691,10484.189827145765,0.31,0.23,0.19,1.3,1.3,0.5,4,0.1,0.01,-15,20,15,12800
DESNATPU1000Dnxr,"26a, Dresdener Straße, Seidau - Židow, Westvorstadt - Zapadne předměsto, Bautzen - Budyšin, Sachsen, 02625, Deutschland",534.6648900015557,1564.5712771552785,667.9143917291392,6736.242949129594,0.31,0.23,0.19,1.3,1.3,0.5,4,0.1,0.01,-15,20,15,12800
DESNATPU1000JgZO,"28b, Dresdener Straße, Seidau - Židow, Westvorstadt - Zapadne předměsto, Bautzen - Budyšin, Sachsen, 02625, Deutschland",740.185199999067,2240.534502007122,925.4291518145184,9547.648894787966,0.31,0.23,0.19,1.3,1.3,0.5,4,0.1,0.01,-15,20,15,12800
